pr_auc,brier,threshold,precision,recall,f1,tp,fp,fn,tn,method,seed,route,r,train_n,train_n_fraud,train_n_normal
0.5287025959473479,0.027296137576020514,0.5,0.050225733634311515,0.9081632653061225,0.09518716577540107,89,1683,9,55181,M1,42,数据层,1,630,315,315
0.5491131532539074,0.02306879075332071,0.499,0.054567749846719804,0.9081632653061225,0.10294968189705032,89,1542,9,55322,M2,42,数据层,2,945,315,630
0.6627690529624228,0.00976089715959663,0.5,0.11934156378600823,0.8877551020408163,0.21039903264812576,87,642,11,56222,M3,42,数据层,5,1890,315,1575
0.6682833157215897,0.004616559221694344,0.498,0.23450134770889489,0.8877551020408163,0.37100213219616207,87,284,11,56580,M4,42,数据层,10,3465,315,3150
0.631418366780453,0.025711093788037365,0.5,0.05017921146953405,0.8571428571428571,0.09480812641083522,84,1590,14,55274,M1,123,数据层,1,630,315,315
0.5942184777015871,0.01562712851389444,0.5,0.08645833333333333,0.8469387755102041,0.15689981096408318,83,877,15,55987,M2,123,数据层,2,945,315,630
0.6548671208016953,0.007574305472240999,0.5,0.1571969696969697,0.8469387755102041,0.26517571884984026,83,445,15,56419,M3,123,数据层,5,1890,315,1575
0.685845463460437,0.0030544356679098835,0.498,0.3458333333333333,0.8469387755102041,0.4911242603550296,83,157,15,56707,M4,123,数据层,10,3465,315,3150
0.6420264323772455,0.032446189178821506,0.5,0.04345726702076291,0.9183673469387755,0.08298755186721991,90,1981,8,54883,M1,456,数据层,1,630,315,315
0.5965836674265668,0.016312506149799698,0.5,0.0859073359073359,0.9081632653061225,0.15696649029982362,89,947,9,55917,M2,456,数据层,2,945,315,630
0.6007216441079535,0.007926252555453735,0.495,0.14878892733564014,0.8775510204081632,0.25443786982248523,86,492,12,56372,M3,456,数据层,5,1890,315,1575
0.6933018430667264,0.0039160615195007195,0.5,0.2765273311897106,0.8775510204081632,0.42053789731051344,86,225,12,56639,M4,456,数据层,10,3465,315,3150
